Electric Field Voltage (V),error,Magnetic Field (A),error,D (m),B/I (Teslas / amp),Velocity (m/s),v/c,Pinhole (1 val) (V),error,x (m),y,q/m (C/kg),Enery 1 kV:,Energy 2:,Energy,Energy Error: 
112.79,0.1,0.100,0.005,0.008,0.00417,3.38E+07,0.11,148.03,0.01,0.05,0.004,1.98E+11,2.23,4.00 kV,3.00 kV+/.01,0.010
199.00,0.05,0.211,0.001,0.008,0.00417,2.83E+07,0.09,148.03,0.01,0.05,0.004,1.38E+11,,,,
65.05,0.03,0.065,0.001,0.008,0.00417,3E+07,0.10,148.03,0.01,0.05,0.004,1.56E+11,,,,
143.79,0.01,0.149,0.001,0.008,0.00417,2.89E+07,0.10,148.03,0.01,0.05,0.004,1.45E+11,,,,
18.92,0.01,0.023,0.001,0.008,0.00417,2.47E+07,0.08,148.03,0.01,0.05,0.004,1.05E+11,,,,
287.22,0.01,0.307,0.001,0.008,0.00417,2.8E+07,0.09,148.03,0.01,0.05,0.004,1.36E+11,,,,
32.68,0.01,0.030,0.001,0.008,0.00417,3.27E+07,0.11,258.3,0.1,0.05,0.004,1.06E+11,,,,
90.00,0.05,0.066,0.001,0.008,0.00417,4.09E+07,0.14,258.3,0.1,0.05,0.004,1.66E+11,,,,
127.41,0.01,0.102,0.001,0.008,0.00417,3.74E+07,0.12,258.3,0.1,0.05,0.004,1.39E+11,,,,
150.21,0.01,0.115,0.001,0.008,0.00417,3.92E+07,0.13,258.3,0.1,0.05,0.004,1.52E+11,,,,
189.07,0.01,0.148,0.001,0.008,0.00417,3.83E+07,0.13,258.3,0.1,0.05,0.004,1.45E+11,,,,
231.04,0.04,0.180,0.001,0.008,0.00417,0E+00,0.00,258.3,0.1,0.05,0.004,0E+00,,,,
498.84,0.05,0.480,0.001,0.008,0.00417,3.12E+07,0.10,204.72,0.01,0.05,0.004,1.21E+11,,,,
438.68,0.05,0.425,0.001,0.008,0.00417,3.09E+07,0.10,204.72,0.01,0.05,0.004,1.2E+11,,,,
368.55,0.05,0.353,0.001,0.008,0.00417,3.13E+07,0.10,204.72,0.01,0.05,0.004,1.22E+11,,,,
279.10,0.05,0.267,0.001,0.008,0.00417,3.13E+07,0.10,204.72,0.01,0.05,0.004,1.23E+11,,,,
185.26,0.03,0.170,0.001,0.008,0.00417,3.27E+07,0.11,204.72,0.01,0.05,0.004,1.33E+11,,,,
101.95,0.03,0.093,0.001,0.008,0.00417,3.29E+07,0.11,204.72,0.01,0.05,0.004,1.35E+11,,,,
